2021-01-15 19:52:42,635; INFO; NP.utils; set_auto_seasonalities; Disabling weekly seasonality. Run NeuralProphet with weekly_seasonality=True to override this.
2021-01-15 19:52:42,636; INFO; NP.utils; set_auto_seasonalities; Disabling daily seasonality. Run NeuralProphet with daily_seasonality=True to override this.
2021-01-15 19:52:42,637; INFO; NP.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-01-15 19:52:42,638; INFO; NP.config; set_auto_batch_epoch; Auto-set epochs to 111
2021-01-15 19:52:42,839; INFO; NP.forecaster; _lr_range_test; learning rate range test found optimal lr: 3.51E-01
2021-01-15 19:53:05,748; INFO; NP.utils; set_auto_seasonalities; Disabling weekly seasonality. Run NeuralProphet with weekly_seasonality=True to override this.
2021-01-15 19:53:05,749; INFO; NP.utils; set_auto_seasonalities; Disabling daily seasonality. Run NeuralProphet with daily_seasonality=True to override this.
2021-01-15 19:53:05,750; INFO; NP.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-01-15 19:53:05,752; INFO; NP.config; set_auto_batch_epoch; Auto-set epochs to 111
2021-01-15 19:53:05,874; INFO; NP.forecaster; _lr_range_test; learning rate range test found optimal lr: 1.87E-01
2021-01-15 19:53:21,741; INFO; NP.utils; set_auto_seasonalities; Disabling weekly seasonality. Run NeuralProphet with weekly_seasonality=True to override this.
2021-01-15 19:53:21,742; INFO; NP.utils; set_auto_seasonalities; Disabling daily seasonality. Run NeuralProphet with daily_seasonality=True to override this.
2021-01-15 19:53:21,744; INFO; NP.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-01-15 19:53:21,745; INFO; NP.config; set_auto_batch_epoch; Auto-set epochs to 111
2021-01-15 19:53:21,867; INFO; NP.forecaster; _lr_range_test; learning rate range test found optimal lr: 2.31E-01
2021-01-15 19:54:40,523; INFO; NP.utils; set_auto_seasonalities; Disabling weekly seasonality. Run NeuralProphet with weekly_seasonality=True to override this.
2021-01-15 19:54:40,525; INFO; NP.utils; set_auto_seasonalities; Disabling daily seasonality. Run NeuralProphet with daily_seasonality=True to override this.
2021-01-15 19:54:40,526; INFO; NP.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-01-15 19:54:40,527; INFO; NP.config; set_auto_batch_epoch; Auto-set epochs to 111
2021-01-15 19:54:40,652; INFO; NP.forecaster; _lr_range_test; learning rate range test found optimal lr: 2.31E-01
2021-01-15 20:04:36,060; INFO; NP.utils; set_auto_seasonalities; Disabling weekly seasonality. Run NeuralProphet with weekly_seasonality=True to override this.
2021-01-15 20:04:36,071; INFO; NP.utils; set_auto_seasonalities; Disabling daily seasonality. Run NeuralProphet with daily_seasonality=True to override this.
2021-01-15 20:04:36,072; INFO; NP.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-01-15 20:04:36,073; INFO; NP.config; set_auto_batch_epoch; Auto-set epochs to 111
2021-01-15 20:04:36,211; INFO; NP.forecaster; _lr_range_test; learning rate range test found optimal lr: 4.33E-01
2021-01-15 20:06:26,068; INFO; NP.utils; set_auto_seasonalities; Disabling weekly seasonality. Run NeuralProphet with weekly_seasonality=True to override this.
2021-01-15 20:06:26,071; INFO; NP.utils; set_auto_seasonalities; Disabling daily seasonality. Run NeuralProphet with daily_seasonality=True to override this.
2021-01-15 20:06:26,072; INFO; NP.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-01-15 20:06:26,072; INFO; NP.config; set_auto_batch_epoch; Auto-set epochs to 111
2021-01-15 20:06:26,200; INFO; NP.forecaster; _lr_range_test; learning rate range test found optimal lr: 2.85E-01
2021-01-15 20:07:14,685; INFO; NP.utils; set_auto_seasonalities; Disabling weekly seasonality. Run NeuralProphet with weekly_seasonality=True to override this.
2021-01-15 20:07:14,686; INFO; NP.utils; set_auto_seasonalities; Disabling daily seasonality. Run NeuralProphet with daily_seasonality=True to override this.
2021-01-15 20:07:14,688; INFO; NP.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-01-15 20:07:14,689; INFO; NP.config; set_auto_batch_epoch; Auto-set epochs to 111
2021-01-15 20:07:14,822; INFO; NP.forecaster; _lr_range_test; learning rate range test found optimal lr: 3.51E-01
2021-01-15 20:07:46,651; INFO; NP.utils; set_auto_seasonalities; Disabling weekly seasonality. Run NeuralProphet with weekly_seasonality=True to override this.
2021-01-15 20:07:46,653; INFO; NP.utils; set_auto_seasonalities; Disabling daily seasonality. Run NeuralProphet with daily_seasonality=True to override this.
2021-01-15 20:07:46,654; INFO; NP.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-01-15 20:07:46,656; INFO; NP.config; set_auto_batch_epoch; Auto-set epochs to 111
2021-01-15 20:07:46,798; INFO; NP.forecaster; _lr_range_test; learning rate range test found optimal lr: 3.51E-01
